Time,Treatments,Species_1,Species_2,Species_3,Species_4,Species_5,Species_6
0.0,sp_2_4,0.0,0.01,0.0,0.01,0.0,0.0
2.6666667,sp_2_4,0.0,0.049914826,0.0,0.03205331,0.0,0.0
5.3333335,sp_2_4,0.0,0.290477,0.0,0.11087542,0.0,0.0
8.0,sp_2_4,0.0,1.7421606,0.0,0.42235324,0.0,0.0
10.666667,sp_2_4,0.0,3.4190252,0.0,1.1569853,0.0,0.0
13.333333,sp_2_4,0.0,3.4207857,0.0,1.7191211,0.0,0.0
16.0,sp_2_4,0.0,3.3243566,0.0,1.8851354,0.0,0.0
18.666666,sp_2_4,0.0,3.293072,0.0,1.9182471,0.0,0.0
21.333334,sp_2_4,0.0,3.2854912,0.0,1.9242159,0.0,0.0
24.0,sp_2_4,0.0,3.2838697,0.0,1.9252626,0.0,0.0
0.0,sp_3_5,0.0,0.0,0.01,0.0,0.01,0.0
2.6666667,sp_3_5,0.0,0.0,0.061286896,0.0,0.1657969,0.0
5.3333335,sp_3_5,0.0,0.0,0.14632979,0.0,1.106432,0.0
8.0,sp_3_5,0.0,0.0,0.19321972,0.0,1.2870215,0.0
10.666667,sp_3_5,0.0,0.0,0.23787232,0.0,1.2917271,0.0
13.333333,sp_3_5,0.0,0.0,0.28227505,0.0,1.278932,0.0
16.0,sp_3_5,0.0,0.0,0.32508036,0.0,1.259529,0.0
18.666666,sp_3_5,0.0,0.0,0.3649005,0.0,1.2385826,0.0
21.333334,sp_3_5,0.0,0.0,0.40059015,0.0,1.2188891,0.0
24.0,sp_3_5,0.0,0.0,0.43143135,0.0,1.201762,0.0
0.0,sp_1_6,0.01,0.0,0.0,0.0,0.0,0.01
2.6666667,sp_1_6,0.09533006,0.0,0.0,0.0,0.0,0.02922246
5.3333335,sp_1_6,0.6593396,0.0,0.0,0.0,0.0,0.017413989
8.0,sp_1_6,1.6555153,0.0,0.0,0.0,0.0,0.0022927923
10.666667,sp_1_6,1.9514973,0.0,0.0,0.0,0.0,0.00021265626
13.333333,sp_1_6,1.9869046,0.0,0.0,0.0,0.0,1.8938623e-05
16.0,sp_1_6,1.9904974,0.0,0.0,0.0,0.0,1.6797118e-06
18.666666,sp_1_6,1.9908551,0.0,0.0,0.0,0.0,1.4891216e-07
21.333334,sp_1_6,1.9908906,0.0,0.0,0.0,0.0,1.32031595e-08
24.0,sp_1_6,1.9908941,0.0,0.0,0.0,0.0,1.1740413e-09
0.0,sp_2_3_4_5_6,0.0,0.004,0.004,0.004,0.004,0.004
2.6666667,sp_2_3_4_5_6,0.0,0.013720457,0.023570407,0.0118449405,0.049416568,0.01737474
5.3333335,sp_2_3_4_5_6,0.0,0.011989714,0.0637538,0.02576873,0.5454186,0.06661237
8.0,sp_2_3_4_5_6,0.0,0.005591735,0.04453263,0.029674187,0.9414298,0.23018889
10.666667,sp_2_3_4_5_6,0.0,0.0049813287,0.022717502,0.017987128,0.83777344,0.6659947
13.333333,sp_2_3_4_5_6,0.0,0.0065639126,0.017680304,0.005546185,0.7873527,1.2868237
16.0,sp_2_3_4_5_6,0.0,0.009499273,0.01830019,0.0011766227,0.7849262,1.6666719
18.666666,sp_2_3_4_5_6,0.0,0.013739084,0.020374058,0.0002212471,0.7958666,1.7828825
21.333334,sp_2_3_4_5_6,0.0,0.019378139,0.022648983,4.059989e-05,0.8091744,1.7939978
24.0,sp_2_3_4_5_6,0.0,0.026529007,0.024644382,7.504176e-06,0.82097954,1.7717447
0.0,sp_3_4_5_6,0.0,0.0,0.005,0.005,0.005,0.005
2.6666667,sp_3_4_5_6,0.0,0.0,0.02833585,0.01434939,0.06405198,0.022232292
5.3333335,sp_3_4_5_6,0.0,0.0,0.06418525,0.028120026,0.63335866,0.0881083
8.0,sp_3_4_5_6,0.0,0.0,0.038878355,0.028198333,0.92408776,0.30448115
10.666667,sp_3_4_5_6,0.0,0.0,0.021421807,0.014124916,0.8253942,0.82541597
13.333333,sp_3_4_5_6,0.0,0.0,0.018518046,0.0037473342,0.79189044,1.4380264
16.0,sp_3_4_5_6,0.0,0.0,0.01999589,0.0007334481,0.7966275,1.7531203
18.666666,sp_3_4_5_6,0.0,0.0,0.022677794,0.00013015395,0.8121712,1.8479313
21.333334,sp_3_4_5_6,0.0,0.0,0.025636477,2.239134e-05,0.83034164,1.8689731
24.0,sp_3_4_5_6,0.0,0.0,0.028539145,3.8047774e-06,0.84826636,1.8708485
0.0,sp_4_6,0.0,0.0,0.0,0.01,0.0,0.01
2.6666667,sp_4_6,0.0,0.0,0.0,0.028411902,0.0,0.04465933
5.3333335,sp_4_6,0.0,0.0,0.0,0.061424408,0.0,0.18380728
8.0,sp_4_6,0.0,0.0,0.0,0.068768516,0.0,0.6051702
10.666667,sp_4_6,0.0,0.0,0.0,0.03503538,0.0,1.2956586
13.333333,sp_4_6,0.0,0.0,0.0,0.011540098,0.0,1.7745391
16.0,sp_4_6,0.0,0.0,0.0,0.0033027942,0.0,1.9443601
18.666666,sp_4_6,0.0,0.0,0.0,0.0009119718,0.0,1.9895675
21.333334,sp_4_6,0.0,0.0,0.0,0.0002496536,0.0,2.0007288
24.0,sp_4_6,0.0,0.0,0.0,6.821637e-05,0.0,2.0034592
