Time,Treatments,Species_1,Species_2,Species_3,Species_4,Species_5,Species_6
0.0,sp_3_5_6,0.0,0.0,0.006666667,0.0,0.006666667,0.006666667
2.6666667,sp_3_5_6,0.0,0.0,0.02863085,0.0,0.024930373,0.019943308
5.3333335,sp_3_5_6,0.0,0.0,0.08535721,0.0,0.097792074,0.045862976
8.0,sp_3_5_6,0.0,0.0,0.10766502,0.0,0.36373714,0.064984985
10.666667,sp_3_5_6,0.0,0.0,0.041768633,0.0,0.83853966,0.060426246
13.333333,sp_3_5_6,0.0,0.0,0.008111793,0.0,1.120135,0.049552158
16.0,sp_3_5_6,0.0,0.0,0.0013026868,0.0,1.2082219,0.039955907
18.666666,sp_3_5_6,0.0,0.0,0.00020346884,0.0,1.235773,0.032204963
21.333334,sp_3_5_6,0.0,0.0,3.2108244e-05,0.0,1.2475418,0.02605961
24.0,sp_3_5_6,0.0,0.0,5.147792e-06,0.0,1.2545125,0.0211843
0.0,sp_6,0.0,0.0,0.0,0.0,0.0,0.02
2.6666667,sp_6,0.0,0.0,0.0,0.0,0.0,0.06314939
5.3333335,sp_6,0.0,0.0,0.0,0.0,0.0,0.17656916
8.0,sp_6,0.0,0.0,0.0,0.0,0.0,0.3794919
10.666667,sp_6,0.0,0.0,0.0,0.0,0.0,0.5768879
13.333333,sp_6,0.0,0.0,0.0,0.0,0.0,0.6826026
16.0,sp_6,0.0,0.0,0.0,0.0,0.0,0.7219931
18.666666,sp_6,0.0,0.0,0.0,0.0,0.0,0.7346151
21.333334,sp_6,0.0,0.0,0.0,0.0,0.0,0.73845816
24.0,sp_6,0.0,0.0,0.0,0.0,0.0,0.7396101
0.0,sp_1_2_3_4_6,0.004,0.004,0.004,0.004,0.0,0.004
2.6666667,sp_1_2_3_4_6,0.003740412,0.014157234,0.014999721,0.0054426617,0.0,0.010911146
5.3333335,sp_1_2_3_4_6,0.0027646378,0.048962615,0.051394675,0.007497436,0.0,0.019517064
8.0,sp_1_2_3_4_6,0.001284139,0.13365936,0.15062793,0.011996768,0.0,0.014935992
10.666667,sp_1_2_3_4_6,0.00035712382,0.22335523,0.33407977,0.024030639,0.0,0.0046737124
13.333333,sp_1_2_3_4_6,7.538535e-05,0.2611993,0.50577176,0.050651614,0.0,0.0008755201
16.0,sp_1_2_3_4_6,1.5147965e-05,0.27129233,0.5729844,0.09698356,0.0,0.00013413542
18.666666,sp_1_2_3_4_6,3.2158775e-06,0.27552372,0.5641214,0.15807617,0.0,1.9190842e-05
21.333334,sp_1_2_3_4_6,7.435147e-07,0.27922574,0.52781117,0.21648142,0.0,2.6965704e-06
24.0,sp_1_2_3_4_6,1.850725e-07,0.282623,0.49099028,0.25816527,0.0,3.7984339e-07
0.0,sp_1_2_3_6,0.005,0.005,0.005,0.0,0.0,0.005
2.6666667,sp_1_2_3_6,0.004519513,0.017709782,0.01781489,0.0,0.0,0.013054992
5.3333335,sp_1_2_3_6,0.003138604,0.060243767,0.058192756,0.0,0.0,0.020921312
8.0,sp_1_2_3_6,0.0013372048,0.1531718,0.16500525,0.0,0.0,0.013791934
